STATION,LINE,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Dapto,South Coast,2014,15/10/2014,Yes,60,10,260,70,150,130,80,230,20,140,570,570,182,1525
Wentworth Falls,Blue Mountains,2014,19/08/2014,Yes,50,0,220,170,110,110,170,220,20,70,570,570,182,1713
Glenbrook,Blue Mountains,2014,19/08/2014,Yes,30,10,390,30,90,70,40,320,10,130,560,560,184,1702
Denistone,Northern via Strathfield,2014,2/05/2012,No,0,10,390,30,100,50,50,360,10,120,550,550,185,1206
Unanderra,South Coast,2014,16/08/2012,No,60,20,240,80,110,120,100,230,20,90,530,530,186,1523
Mount Colah,North Shore,2014,21/08/2013,No,10,0,460,20,40,130,10,250,0,140,520,520,187,1419
Oak Flats,South Coast,2014,21/10/2014,Yes,40,0,300,70,80,130,70,210,10,80,500,500,188,1527
Waterfall,Illawarra,2014,14/06/2012,No,10,0,320,30,120,70,40,280,10,100,500,500,188,326
East Richmond,Western,2014,7/04/2011,No,10,0,140,170,160,130,110,120,60,50,480,480,190,920
Narara,Central Coast,2014,5/11/2013,No,70,0,290,30,80,70,40,250,0,120,480,480,190,1809
Leura,Blue Mountains,2014,11/09/2012,No,40,0,170,60,150,160,80,170,20,60,460,460,192,1714
Victoria Street,Hunter,2014,3/06/2009,No,20,0,170,80,140,130,70,180,30,40,430,430,193,2009
Hazelbrook,Blue Mountains,2014,19/11/2013,No,50,0,230,40,70,90,50,210,20,70,420,420,194,1710
Wyee,Newcastle,2014,21/11/2012,No,50,0,210,20,80,70,40,230,10,60,390,390,195,1902
Bomaderry (Nowra),South Coast,2014,23/10/2014,Yes,30,10,180,30,80,140,80,150,10,40,380,380,196,1534
Carlingford,Carlingford,2014,18/11/2014,Yes,10,0,200,110,80,60,80,140,10,70,380,380,196,1006
Coniston,South Coast,2014,14/10/2014,Yes,20,0,190,40,90,90,70,180,10,70,380,380,196,1518
Mulgrave,Western,2014,20/11/2013,No,10,0,230,80,60,60,60,160,20,70,380,380,196,917
Ourimbah,Central Coast,2014,12/11/2013,No,30,10,170,90,70,70,70,160,30,50,370,370,200,1812
Warnervale,Newcastle,2014,21/11/2012,No,40,0,240,20,50,20,20,230,10,80,360,360,201,1901
Waratah,Hunter,2014,3/06/2009,No,0,0,120,70,90,110,90,120,50,50,350,350,202,2001
Telopea,Carlingford,2014,18/11/2014,Yes,0,0,260,30,50,70,20,130,10,100,340,340,203,1005
Beresfield,Hunter,2014,3/06/2009,No,0,20,140,60,110,100,60,120,20,30,330,330,204,2006
Albion Park,South Coast,2014,17/06/2014,Yes,20,0,220,20,50,70,30,190,0,40,320,320,205,1526
Casula,South,2014,19/06/2012,No,10,0,190,30,70,50,40,170,10,60,320,320,205,711
Hawkesbury River,Central Coast,2014,30/10/2012,No,0,0,150,50,110,90,50,150,10,40,320,320,205,1802
Leightonfield,Bankstown,2014,19/06/2012,No,10,0,20,150,60,80,170,70,60,10,320,320,205,619
Lithgow,Blue Mountains,2014,9/10/2014,Yes,20,0,120,20,100,80,70,170,10,40,320,320,205,1721
Mount Kuring-gai,North Shore,2014,22/05/2014,Yes,10,0,200,10,80,60,30,190,0,50,320,320,205,1420
Bellambi,South Coast,2014,14/08/2013,No,20,0,130,100,50,60,100,100,10,50,310,310,211,1512
Bowral,Southern Highlands,2014,18/06/2014,Yes,10,0,110,50,130,100,50,100,0,60,300,300,212,1609
Kiama,South Coast,2014,19/06/2014,Yes,10,0,120,30,120,130,50,120,0,30,300,300,212,1531
Blackheath,Blue Mountains,2014,21/08/2014,Yes,30,0,110,30,110,110,30,130,10,30,290,290,214,1717
Corrimal,South Coast,2014,13/08/2013,No,10,0,140,50,70,70,50,120,10,50,280,280,215,1513
Moss Vale,Southern Highlands,2014,19/06/2014,Yes,30,10,100,40,80,90,60,100,10,30,280,280,215,1611
Picton,Southern Highlands,2014,19/06/2014,Yes,20,0,140,10,60,50,40,120,10,70,270,270,217,1604
Bulli,South Coast,2014,20/08/2014,Yes,10,0,90,110,90,30,70,100,0,30,260,260,218,1510
Fairy Meadow,South Coast,2014,29/08/2013,No,20,0,130,40,40,70,50,90,10,50,250,250,219,1515
Lawson,Blue Mountains,2014,19/08/2014,Yes,30,0,100,20,90,40,30,150,0,50,250,250,219,1711
Rydalmere,Carlingford,2014,8/11/2012,No,0,0,50,130,20,60,120,50,50,10,240,240,221,1003
